draw,rc,term,estimate,raw_gap,N
25,0,edu,-.0096779684032691,-.0583970936150256,16210
25,0,plants,-.0141297242577702,-.0583970936150256,16210
25,0,age,.0016433085017917,-.0583970936150256,16210
25,0,gender,.0004370581203319,-.0583970936150256,16210
25,0,marriage,.0005264116085312,-.0583970936150256,16210
25,0,ln_income,-.0001221292842238,-.0583970936150256,16210
25,0,health,-.0011792643954559,-.0583970936150256,16210
25,0,sportsArea,.005132600290508,-.0583970936150256,16210
25,0,year14,-.0054287097494608,-.0583970936150256,16210
25,0,rice10,-.0249922339489918,-.0583970936150256,16210
25,0,ln_gdp_hist,.0149056985409189,-.0583970936150256,16210
25,0,urban2000_10,-.0174867584613654,-.0583970936150256,16210
25,0,diff,-.0583970936150256,-.0583970936150256,16210
25,0,expl,-.0506816291676316,-.0583970936150256,16210
25,0,pr_0,.1534076185540295,-.0583970936150256,16210
25,0,pr_1,.2118047121690551,-.0583970936150256,16210
26,0,edu,.0027491172881473,-.0278216490519599,20508
26,0,plants,-.0127280094890667,-.0278216490519599,20508
26,0,age,-.0003679081400933,-.0278216490519599,20508
26,0,gender,-.0003392343574231,-.0278216490519599,20508
26,0,marriage,-.0017465111275893,-.0278216490519599,20508
26,0,ln_income,.0003379213703256,-.0278216490519599,20508
26,0,health,.0005778265508277,-.0278216490519599,20508
26,0,sportsArea,.0037395647103471,-.0278216490519599,20508
26,0,year14,-.0039138690694439,-.0278216490519599,20508
26,0,rice10,-.0440760897058985,-.0278216490519599,20508
26,0,ln_gdp_hist,.0606186831076942,-.0278216490519599,20508
26,0,urban2000_10,-.0312819659022283,-.0278216490519599,20508
26,0,diff,-.0278216490519599,-.0278216490519599,20508
26,0,expl,-.0264695028513668,-.0278216490519599,20508
26,0,pr_0,.1497150372643577,-.0278216490519599,20508
26,0,pr_1,.1775366863163176,-.0278216490519599,20508
27,0,edu,-.0114715416265665,-.0903009675398614,10871
27,0,plants,-.0761385939329804,-.0903009675398614,10871
27,0,age,.0025725884254047,-.0903009675398614,10871
27,0,gender,.0011838407927509,-.0903009675398614,10871
27,0,marriage,.0008290538348164,-.0903009675398614,10871
27,0,ln_income,-.0021767646830534,-.0903009675398614,10871
27,0,health,-.0019845918444312,-.0903009675398614,10871
27,0,sportsArea,.0040377518611927,-.0903009675398614,10871
27,0,year14,-.0117689650317098,-.0903009675398614,10871
27,0,rice10,-.0299736123268874,-.0903009675398614,10871
27,0,ln_gdp_hist,.0169475521649597,-.0903009675398614,10871
27,0,urban2000_10,.0189618249485143,-.0903009675398614,10871
27,0,diff,-.0903009675398614,-.0903009675398614,10871
27,0,expl,-.0889605559887538,-.0903009675398614,10871
27,0,pr_0,.1680424528301887,-.0903009675398614,10871
27,0,pr_1,.2583434203700501,-.0903009675398614,10871
28,0,edu,-.0107849886645958,-.0531667580660982,12381
28,0,plants,.0134540491493947,-.0531667580660982,12381
28,0,age,.0038617902668662,-.0531667580660982,12381
28,0,gender,.0002163550695371,-.0531667580660982,12381
28,0,marriage,.0030545595257939,-.0531667580660982,12381
28,0,ln_income,.0000555915276838,-.0531667580660982,12381
28,0,health,-.0036898631204253,-.0531667580660982,12381
28,0,sportsArea,.0025572599440247,-.0531667580660982,12381
28,0,year14,-.0009668365715542,-.0531667580660982,12381
28,0,rice10,-.0327201977401256,-.0531667580660982,12381
28,0,ln_gdp_hist,.0119464866372435,-.0531667580660982,12381
28,0,urban2000_10,-.0406703821080347,-.0531667580660982,12381
28,0,diff,-.0531667580660982,-.0531667580660982,12381
28,0,expl,-.053641661213975,-.0531667580660982,12381
28,0,pr_0,.1674524183691287,-.0531667580660982,12381
28,0,pr_1,.2206191764352269,-.0531667580660982,12381
29,0,edu,-.0110271542850787,-.0955306442697317,16003
29,0,plants,.0114649946884637,-.0955306442697317,16003
29,0,age,.0017227523012374,-.0955306442697317,16003
29,0,gender,.000338997552309,-.0955306442697317,16003
29,0,marriage,-.0004053177272262,-.0955306442697317,16003
29,0,ln_income,.000350307053721,-.0955306442697317,16003
29,0,health,-.0012874625276513,-.0955306442697317,16003
29,0,sportsArea,.0035682241350809,-.0955306442697317,16003
29,0,year14,-.0129928409563216,-.0955306442697317,16003
29,0,rice10,-.0789498123488876,-.0955306442697317,16003
29,0,ln_gdp_hist,-.0009066800428316,-.0955306442697317,16003
29,0,urban2000_10,-.0087225448655824,-.0955306442697317,16003
29,0,diff,-.0955306442697317,-.0955306442697317,16003
29,0,expl,-.0968139339373419,-.0955306442697317,16003
29,0,pr_0,.1489088575096277,-.0955306442697317,16003
29,0,pr_1,.2444395017793594,-.0955306442697317,16003
